OTU_ID	cardio_health_status	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinilabiaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae]	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae]	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae]	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]	k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;unclassified	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;unclassified	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Thermoactinomycetaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__[Thermicanaceae]	k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae]	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae	k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae	k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;unclassified	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae
MI_252_H	Healthy	0	0	0	0.0014027119	0.0042749315	0.0005343664	0	0.0002003874	0.447197916	0	0	0	0	0.0002003874	0	0	0	0.0004007748	0	0	0	0	0	0.0002003874	0	6.6795805223432E-05	0	0.0016698951	0	0	0.0007347539	0	0.0040077483	0	6.6795805223432E-05	0.0164985639	0.0017366909	6.6795805223432E-05	6.6795805223432E-05	0.0032061987	0	0.0002671832	6.6795805223432E-05	0	0	0.0002003874	0.0016698951	0.5150624541	0	6.6795805223432E-05	0	0	6.6795805223432E-05	6.6795805223432E-05
MI_254_H	Abnormal	0.0119104013	6.76727346552074E-05	0.0001353455	0	0.0188130202	0.0339040401	0	0.0022332002	0.131352778	0.0030452731	0.0060905461	0	0.0004737091	0.006631928	0	0	0	0.0133992015	0	0	0.0002706909	0	6.76727346552074E-05	6.76727346552074E-05	0.0001353455	0.0108276375	0	0.0131285105	0	0.0007444001	0.0012181092	0.0010827638	0.0337010219	6.76727346552074E-05	0	0.0574541517	0.0114366922	0.0004737091	0	0.0011504365	0	6.76727346552074E-05	6.76727346552074E-05	6.76727346552074E-05	0	0	0	0.2263652974	0.0004737091	0	0	0.0136698924	0	0.3994044799
MI_255_H	Healthy	0	0.0018359853	6.7999456004352E-05	0.0173398613	0.0201958384	0.0048959608	0	0.0011559908	0.0063239494	0.0025839793	0	0.0003399973	0.0011559908	0.0037399701	0	0	0.004623963	0.0033999728	0	0.0012919897	0	0.0002719978	0	0	0.0150958792	0	0	0.0027199782	0	0.0010199918	0.0261797906	0	0.2257581939	0	0.0309397525	0.1859785122	0.0390996872	0.0005439956	6.7999456004352E-05	0.0027879777	0	0.0016319869	0.0004759962	0	6.7999456004352E-05	0.0043519652	0	0.0466476268	0.0002039984	0.0002719978	0	0.0002719978	0.0248878009	0.3217734258
MI_256_H	Abnormal	0	6.82454104961442E-05	0.0010919266	0.0925407766	0.0360335767	0.0030027981	0	0.0002047362	0.1050296868	0.0088719034	0	0.0101003208	0.0004777179	0.0136490821	0	0	0.0111922473	0.0020473623	0	0	0	0	0.0006824541	0.0016378899	0	0	0	0.002661571	0.0005459633	0.0023885894	0.08728588	0	0.2086944653	0	0.0220432676	0.1869241793	0.0090766396	0.0016378899	0	0.008803658	0	0	0.0043677063	0.0001364908	0	0.0054596328	0	0.1620146045	0.001501399	0	0	0.0002729816	0.0072340135	0.002320344
MI_257_H	Abnormal	0.0025535918	6.71997849606881E-05	6.71997849606881E-05	0.0026207916	0.0085343727	0.0211007325	0.0388414757	0.0032255897	0.0571198172	0.0055775822	0.0006047981	0.0003359989	0.0016127948	0.0014783953	0	0	0	0.0016799946	0	0	6.71997849606881E-05	0.0002687991	0.0002015994	0.0002015994	0.0038975875	0.0016799946	0	0.0006719978	6.71997849606881E-05	0.0029567905	0.0092735703	0.0006047981	0.0334654929	0	0.0005375983	0.0602782071	0.0102815671	0.0002015994	0	0.0013439957	0	0.0003359989	0.0001343996	0	0.0004031987	0.0076607755	0	0.617498824	0	0	0	0	0.0080639742	0.0944828977
MI_258_H	Abnormal	0	0.000137779	0.000137779	0.0122623312	0.0037200331	0.1394323505	0	0.0096445302	0.0100578672	0.0262469	0	0	0.0052356021	0	0	0	0	0.000137779	0	0	0.002342243	0	0	0.0003444475	0.000275558	0	0	0.0042022596	0	0.0029622486	0.0097134197	0.0003444475	0.0414714797	0	0.0004822265	0.0828051805	0.0139845688	0	0.0011711215	0.000137779	0.001240011	0.0065445026	0.0025489115	0.000275558	0	0.028726922	0	0.363667677	0	0.001653348	0	0.000964453	0	0.2271286856
MI_259_H	Healthy	0.0067408156	0	0.0001348163	0.0661948096	0.0251432423	0.0016177958	0	0.0003370408	0.1158072127	0.0004718571	0.0046511628	0	6.74081563869228E-05	0	0	0	0.0045163465	6.74081563869228E-05	0	0	0	0.0041118975	0.0001348163	0	0.0020896528	0	0	0.0006740816	0	0.0018874284	0.0245365689	0	0.0777216043	0	0.0032355915	0.0907987867	0.0031681834	0.0006066734	0	0.0845298281	6.74081563869228E-05	0	0.0006740816	0	0	0	0	0.4015503876	0.0002022245	0	0	0	0.0452982811	0.0329625885
MI_260_H	Abnormal	0	0.0006070417	0.0003372454	0.18831782	0.0437744503	0.0047888844	0	0.0002697963	0.2679077297	0.000876838	0.0022932686	0	0.0003372454	0.0163226764	0	0	0	0.0004046945	0	0	0	0.0010791852	0	0	0.0006070417	6.74490759476595E-05	0	0.0019560232	0	0.0016862269	0.0273168758	0	0.1106164846	0	0.0003372454	0.0564548766	0.0279239174	0.0004721435	0	0.0269121813	0	0.0036422501	0.0004721435	0	0	0.0007419398	0	0.185619857	0	0	0	0	0.0270470795	0.0008093889
MI_261_H	Abnormal	0	6.70106546940964E-05	0.0001340213	0.0036185754	0.0026134155	0.0052268311	0	0.0036185754	0.0028144475	0	6.70106546940964E-05	0.000201032	0.0001340213	0	0	0	0	6.70106546940964E-05	0	0	0	0	0	0.0001340213	0.0012061918	0.0003350533	0	0.0097835556	0	0	6.70106546940964E-05	0	0.0471755009	6.70106546940964E-05	0.0806808283	0.0005360852	0.0148093547	6.70106546940964E-05	6.70106546940964E-05	0.0002680426	0.0004020639	0.0028814582	0.0023453729	0	0	0.0003350533	0	0.8198753602	6.70106546940964E-05	0.0003350533	0	0	0	0
MI_262_H	Abnormal	0.0305263158	0.0014035088	0	0.0101052632	0.1827368421	0.0001403509	0	0.0004210526	0.133754386	0.0002105263	0	0	7.01754385964912E-05	0.0021754386	0	0	0.0042807018	0.0061754386	0.0001403509	0.0007017544	0	0.0003508772	0	0	0	0	0	0.0009824561	0	0.0058245614	0.1594385965	0	0.1047017544	0.0004210526	0.0089824561	0.2299649123	0.0040701754	0.0058245614	0	0.0266666667	0	0.0002807018	0	7.01754385964912E-05	0	0	0.0001403509	0.0079298246	0.0002105263	0	0	0	0.0710175439	0.0002807018
