OTU_ID	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinilabiaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae]	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae]	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae]	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]	k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;unclassified	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;unclassified	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Thermoactinomycetaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__[Thermicanaceae]	k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae]	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae	k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae	k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;unclassified	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae
MI_024_H	0	0.0012136741	0	0.0127435776	0.1353246578	0.0040455802	0.0000674	0.0018205111	0.0768660239	0.0026296271	0.0000674	0.0001348527	0.0006742634	0.0002697053	0	0	0.065875531	0.0000674	0	0	0	0.0004719844	0.0005394107	0	0.0000674	0	0.0000674	0.0045175646	0.000404558	0.0027644798	0.0280493561	0	0.0863731373	0	0.0710673589	0.410896096	0.0072820444	0.0050569753	0.0003371317	0.0554244488	0	0.0003371317	0.0001348527	0	0.0001348527	0.0012136741	0	0.0003371317	0.0002697053	0	0	0	0.0136875464	0.0087654238
MI_025_H	0	0.0007403917	0	0.0561351551	0.0212021269	0.0631352225	0	0.0018173252	0.0009423168	0.0133270512	0.0001346167	0.0018173252	0.0008750084	0.0002692334	0	0	0.0059231339	0.0000673	0	0	0	0	0.0001346167	0	0.0000673	0	0	0.0043077337	0	0.0014807835	0.0110385677	0	0.0492697045	0	0.0030961836	0.3238204214	0.0407888537	0.0004711584	0	0.0014134751	0	0.000201925	0	0	0.0000673	0.0000673	0	0.0122501178	0	0	0	0	0.0107693343	0.3743689843
MI_026_H	0.0003344929	0.0022745518	0.0002675943	0.0001337972	0.0163232539	0.0161225582	0.0001337972	0.0002006957	0.0033449291	0.0000669	0	0.0000669	0	0.0005351887	0	0.0000669	0	0.0002675943	0.0000669	0.0004013915	0	0	0.0003344929	0.0001337972	0	0	0	0.0115734546	0	0.0000669	0.0161225582	0	0.032312015	0	0.0002675943	0.8827936848	0.0002675943	0.0017393631	0.0002006957	0.0015386674	0	0	0.0000669	0	0	0.0001337972	0.0002006957	0.0101685844	0.0004013915	0	0	0	0.0002006957	0.0008696816
MI_027_H	0.0014121444	0.004976128	0.0027570439	0.0547374084	0.1262860601	0	0	0	0.1785354045	0	0.0000672	0	0	0.0057158227	0.0001344899	0	0	0.0005379598	0	0	0	0.0001344899	0.0012104095	0.0073969471	0.0074641921	0.0057158227	0.0004707148	0.2357608769	0	0	0.0002017349	0	0.1305224934	0.0010086746	0.0187613476	0.073364266	0.0492905655	0.0028242889	0.0001344899	0.0484836258	0	0	0	0	0	0.0006052048	0	0.0345639163	0.0066572524	0	0	0	0.0002689799	0
MI_028_H	0.00007	0.0044108381	0.0005601064	0.0116222082	0.0204438843	0.0149128334	0	0.0005601064	0.0040607715	0.0123923545	0	0.0009101729	0.0010501995	0.0025904922	0	0	0	0.0002800532	0	0	0.0003500665	0.0018903592	0.0012602394	0.0005601064	0.0074914234	0	0	0.0253448155	0.0045508647	0.0035706784	0.0435482742	0	0.1576699573	0	0.0726037947	0.3707904502	0.0068613036	0.0024504656	0.00007	0.0035706784	0.0004200798	0.0004900931	0.0001400266	0.0002100399	0	0.0014702794	0	0.0025204789	0.0021704124	0.000700133	0	0	0.0298256669	0.185605265
MI_029_H	0.0385584849	0.0022481095	0.0018393624	0.0339260168	0.2171810069	0.0166223857	0	0.0006131208	0.0758907283	0.0006812453	0.0006131208	0.0000681	0.0000681	0.0044280946	0.0019756114	0	0	0.0012262416	0	0.0001362491	0.0002043736	0.0006812453	0	0.0001362491	0.0002724981	0	0	0.0329722733	0.0002724981	0.0082430683	0.0292935486	0	0.0687376524	0.0001362491	0.0001362491	0.1880918319	0.0247973295	0.0033381021	0.0006131208	0.0923768649	0	0.0000681	0.0001362491	0	0.0054499625	0.0014987397	0.0160773895	0.0335853941	0.0001362491	0	0	0	0.0947612235	0.0019074869
MI_030_H	0.0020099156	0.0012059494	0.0004689803	0.0002679887	0.0150073697	0.0038858368	0	0.000067	0.0022779043	0.0006029747	0	0	0.0004019831	0.0003349859	0	0	0	0.0035508509	0	0.0006029747	0.0006699719	0	0.0004689803	0.0002679887	0	0	0	0.0072356961	0.000067	0.0001339944	0.1345973469	0	0.019094198	0	0.000067	0.3183706284	0.0795256599	0.0015409353	0.0075036848	0.0034168565	0.000067	0.0002009916	0	0	0	0.001071955	0	0.3576979767	0.021238108	0	0	0.0002009916	0.0032158649	0.0126624682
MI_031_H	0.0005413452	0.0070374882	0.0002030045	0.002165381	0.1156448775	0.0005413452	0	0	0.1121938016	0.0016240357	0.0000677	0	0	0.0050074435	0.0001353363	0.0001353363	0.0009473542	0.0009473542	0.0000677	0.0022330491	0	0.0023007173	0.0000677	0.0000677	0.0079171742	0.0007443497	0	0.0444579781	0	0.0037217485	0.0404655569	0	0.0786980647	0.0050751117	0.0011503586	0.2380565706	0.0050074435	0.0062931384	0	0.0785627284	0	0.0002030045	0	0	0	0.0000677	0	0.1682230342	0.0025037217	0	0.0553525511	0	0.0115712546	0
MI_032_H	0	0.0007434442	0	0.0353473912	0.0878615842	0.0086509868	0	0.0014868883	0.0002027575	0.0019599892	0.0004731008	0	0.0002027575	0.0002703433	0	0	0	0.0031089484	0	0	0	0	0.000405515	0	0.0002027575	0	0	0.0144633685	0.0002703433	0.0038523925	0.0244660719	0	0.0352798054	0	0	0.2954852663	0.0008786158	0.0016896459	0	0.0006758583	0	0.0005406867	0.0000676	0	0.0000676	0.0001351717	0	0.0362935929	0	0	0	0	0	0.4449175453
MI_033_H	0	0.000545405	0.0003408781	0.0000682	0.1880283611	0.2990864467	0	0.033951459	0.0016362149	0.0042268885	0.0002727025	0	0.0006135806	0.028906463	0	0	0	0.0023179711	0	0	0.0003408781	0	0.0006135806	0.0007499318	0.0057267521	0	0.0002045269	0.0137032997	0.0001363512	0.0015680393	0.0264521407	0	0.0596536678	0	0	0.1501908917	0.0044314153	0.0038178347	0.0008181074	0.0013635124	0	0	0.0000682	0	0	0	0	0.1069675484	0.0002045269	0	0	0.0006817562	0	0.062312517
MI_034_H	0.0001349164	0.0006745818	0.0001349164	0.0914058284	0.0273880194	0.0005396654	0	0.0001349164	0.0764301133	0.0004722072	0.0001349164	0	0	0.0016864544	0	0	0.0132218025	0.0006745818	0	0.0017539126	0	0.0001349164	0.0001349164	0.0001349164	0	0.0002023745	0	0.0080275229	0	0.0016864544	0.0223286562	0.0000675	0.1297220723	0	0.0992309768	0.2987722612	0.0232056125	0.0048569887	0.0007420399	0.0097814355	0	0	0.0004722072	0	0.0001349164	0.0008769563	0	0.0130868861	0.0006071236	0	0	0	0.1691176471	0.0018888289
MI_035_H	0.0031152648	0.0012867398	0.0005417852	0.0079236083	0.0560070432	0.0179466342	0	0.0014899093	0.4097927672	0.0010835704	0.0077204388	0	0.0000677	0.0207232832	0	0	0	0	0	0	0	0.0011512935	0.0003386157	0	0	0.0001354463	0.0002708926	0.0084653935	0	0.0062305296	0.0149668157	0	0.0481511581	0.0006095083	0.0601381552	0.1931464174	0.0748340783	0.0014899093	0.0055532981	0.023364486	0	0.0000677	0.0001354463	0	0.000474062	0.0016930787	0.0133414601	0.0014899093	0.0115806583	0	0	0	0.0046728972	0
MI_036_H	0.0049835006	0.0036366085	0.0037712977	0.0477473231	0.0201360361	0.0028958179	0	0.0007407906	0.0319213415	0.0067344602	0.0009428244	0.0008754798	0.0006061014	0.0008754798	0	0	0	0.000336723	0	0.0006061014	0.0001346892	0.0038386423	0.0005387568	0.0029631625	0.0068018048	0.0002020338	0.0268031517	0.1317260422	0.0001346892	0.0035692639	0.0305071049	0.0001346892	0.0581183918	0	0.0319213415	0.2158394505	0.028958179	0.0018183043	0.0004040676	0.0019529935	0	0	0	0	0.0001346892	0.0011448582	0	0.0130648529	0.0021550273	0	0	0.0000673	0.1396053606	0.1706512223
MI_037_H	0.2585999859	0.0006357279	0	0.0007770008	0.1412022321	0.0074168256	0.0004238186	0.0007063643	0.0042381861	0.0022603659	0.0108073744	0	0.0001412729	0.0036024581	0	0.0001412729	0.0093946458	0	0.0000706	0.0021897295	0.0100303737	0.0001412729	0	0	0	0.0002825457	0	0.002119093	0	0.0288196652	0.0196369287	0.0014127287	0.0608179699	0	0.1093452003	0.258458713	0.0461255916	0.0021897295	0.0034611853	0.0044500954	0.0006357279	0	0	0	0.0006357279	0.0000706	0	0.0006357279	0.0002119093	0	0	0.0002825457	0.0049445504	0.0026841845
MI_038_H	0.2241011892	0.0021997663	0.0004811989	0.0360899154	0.1388602461	0.0012373685	0	0.0002062281	0.0293531312	0.0014435966	0.0000687	0	0.0001374854	0.0142297381	0	0	0	0.0131985976	0.0010311404	0.007011755	0	0.010173919	0.0002062281	0.0004124562	0.0001374854	0.0004811989	0.0003437135	0.0026809651	0	0.0162232763	0.0485323434	0.0004811989	0.0654430467	0.013336083	0	0.2793015742	0.0053619303	0.0152608785	0.0001374854	0.0655805321	0.0001374854	0.0006186843	0	0	0	0	0.0028871932	0.0021997663	0.0002062281	0	0	0	0.0000687	0.0001374854
MI_039_H	0.0003365417	0.0043077337	0.0010769334	0.0129905095	0.2170020866	0.0008750084	0	0	0.0052500505	0.0000673	0	0	0.0001346167	0.0004711584	0	0	0.000201925	0.0030288753	0	0.0002692334	0	0	0.0006730834	0.0009423168	0.0018173252	0.0170290099	0	0.0125866595	0.0037019587	0.0013461668	0.0261829441	0	0.2095981692	0.003163492	0.0001346167	0.1680689237	0.0134616679	0.0016154001	0.0016154001	0.1117991519	0	0	0.000201925	0	0	0	0	0.1611361648	0.0004711584	0	0	0	0.0066635256	0.0117789594
MI_040_H	0.0232447171	0.0045671438	0.0022494888	0.0929788684	0.0679618269	0.0089297887	0	0.0001363327	0.087661895	0	0.0013633265	0	0.0001363327	0.0065439673	0	0	0.0043626449	0.0127471029	0	0.0013633265	0	0.0018404908	0.0003408316	0.0018404908	0.0004771643	0.0019086571	0.0006134969	0.2355146558	0.0000682	0.0082481254	0.0039536469	0.0002726653	0.0567143831	0.0004771643	0.0520109066	0.1319700068	0.0435582822	0.0021813224	0.000204499	0.026993865	0	0.0000682	0.000204499	0	0	0.0002726653	0.0036809816	0.0163599182	0	0.0000682	0	0	0.090797546	0.0051124744
MI_041_H	0	0.0115602982	0.0011628702	0.0011628702	0.2160886518	0.001573295	0	0	0.009371366	0.0002052124	0	0	0.0000684	0.0001368083	0	0	0.0006840413	0.0029413777	0	0.0027361653	0	0.0068404132	0.001026062	0.0002736165	0.0002052124	0	0.0001368083	0.017648266	0	0.0017101033	0.0605376565	0	0.1080785279	0	0.0046514809	0.4483890827	0.0036938231	0.0081400917	0.0002736165	0.0398796087	0.0001368083	0.0006840413	0.0005472331	0	0	0.0003420207	0	0.0414529038	0.0002052124	0	0	0	0.001573295	0.0058827553
MI_042_H	0.0188285926	0.0023535741	0	0.1434335283	0.1014726649	0.0109609307	0	0.0010086746	0.0751798803	0.0008069397	0.0002017349	0	0.0000672	0.0057158227	0	0	0	0.0070607222	0.0000672	0	0	0.0031605138	0.0004707148	0.0001344899	0	0.0030260238	0	0.0039002085	0	0.0044381682	0.0917893887	0	0.0612601708	0	0.0010759196	0.3384439513	0.0082711317	0.0014793894	0	0.0690605877	0.0001344899	0.0006724497	0.0000672	0	0	0.0022190841	0	0.0394727994	0.0001344899	0	0	0.0000672	0.0034294936	0.0001344899
